state,mp_name,mp_name_normalized,constituency,allocated_amount,allocation_level,allocation_term,allocation_term_confidence,allocation_term_evidence,source_package,source_file,source_row_number,source_record_id,allocation_is_cumulative_or_aggregate
Uttar Pradesh,Dinesh Lal Yadav (17th Lok Sabha),Dinesh Lal Yadav,AZAMGARH,51574427.28,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,86,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row86,True
Gujarat,Dipsinh Shankarsinh Rathod,Dipsinh Shankarsinh Rathod,SABARKANTHA,73563957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,87,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row87,True
Tamil Nadu,Dnv Senthilkumar S(17th Lok Sabha),Dnv Senthilkumar S,DHARAMAPURI,96844975.0,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,88,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row88,True
Karnataka,Doddaalahalli Kempegowda Suresh,Doddaalahalli Kempegowda Suresh,BANGALORE RURAL,98063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,89,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row89,True
Uttar Pradesh,Dr Chandra Sen Jadon (17th Lok Sabha),Dr Chandra Sen Jadon,FIROZABAD,49063957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,90,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row90,True
Delhi,Dr Harsh Vardhan (17th Lok Sabha),Dr Harsh Vardhan,CHANDINI CHOWK,142163957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,91,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row91,True
West Bengal,Dr Jayanta Kumar Roy (17th Lok Sabha),Dr Jayanta Kumar Roy,JALPAIGURI(SC),117663957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,92,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row92,True
Gujarat,Dr K C Patel (17th Lok Sabha),Dr K C Patel,VALSAD(ST),98063957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,93,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row93,True
West Bengal,Dr Kakoli Ghosh Dastidar,Dr Kakoli Ghosh Dastidar,BARASAT,73563957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,94,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row94,True
Gujarat,Dr Mahendrabhai Munjapara (17th Lok Sabha),Dr Mahendrabhai Munjapara,SURENDRANAGAR,98063957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,95,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row95,True
